timestamp,tick_direction,direction,amount,price
1577837032059,0,buy,10.0,7166.0
1577837032059,1,buy,90.0,7166.0
1577837032059,1,buy,10.0,7166.0
1577837032059,1,buy,90.0,7166.0
1577837032059,0,buy,10.0,7166.5
1577837032059,1,buy,100.0,7166.5
1577837044524,2,sell,1130.0,7166.0
1577837046577,2,sell,1130.0,7165.5
1577837046577,2,sell,1130.0,7165.0
1577837046577,2,sell,1000.0,7164.0
1577837046577,3,sell,100.0,7164.0
1577837046577,3,sell,10.0,7164.0
1577837046577,3,sell,1130.0,7164.0
1577837046577,3,sell,80.0,7164.0
1577837046577,2,sell,130.0,7163.5
1577837046577,3,sell,100.0,7163.5
1577837046577,3,sell,190.0,7163.5
1577837046603,3,sell,940.0,7163.5
1577837046603,3,sell,1180.0,7163.5
1577837046603,3,sell,1130.0,7163.5
1577837046603,3,sell,100.0,7163.5
1577837046603,3,sell,3990.0,7163.5
1577837046603,3,sell,3980.0,7163.5
1577837046603,3,sell,3440.0,7163.5
1577837046603,3,sell,280.0,7163.5
1577837046603,2,sell,100.0,7163.0
1577837046603,3,sell,100.0,7163.0
1577837046603,3,sell,100.0,7163.0
1577837046603,3,sell,1130.0,7163.0
1577837046603,2,sell,10.0,7162.5
1577837046603,3,sell,1130.0,7162.5
1577837046603,3,sell,1000.0,7162.5
1577837046603,3,sell,100.0,7162.5
1577837046603,2,sell,15000.0,7162.0
1577837046603,3,sell,1130.0,7162.0
1577837046603,3,sell,10.0,7162.0
1577837046603,3,sell,10.0,7162.0
1577837046603,3,sell,10.0,7162.0
1577837046603,3,sell,100.0,7162.0
1577837046603,3,sell,100.0,7162.0
1577837046603,3,sell,100.0,7162.0
1577837046603,2,sell,15000.0,7161.5
1577837046603,3,sell,1130.0,7161.5
1577837046603,3,sell,10.0,7161.5
1577837046603,2,sell,600.0,7161.0
1577837046603,3,sell,15000.0,7161.0
1577837046603,3,sell,8500.0,7161.0
1577837046603,3,sell,10.0,7161.0
1577837046603,3,sell,10.0,7161.0
1577837046603,3,sell,3450.0,7161.0
1577837046603,2,sell,50.0,7160.5
1577837046603,3,sell,50.0,7160.5
1577837046603,3,sell,50.0,7160.5
1577837046603,3,sell,50.0,7160.5
1577837046603,3,sell,10.0,7160.5
1577837046603,3,sell,10.0,7160.5
1577837046603,3,sell,10.0,7160.5
1577837046603,3,sell,10.0,7160.5
1577837046603,3,sell,880.0,7160.5
1577837046651,3,sell,1120.0,7160.5
1577837046651,3,sell,10.0,7160.5
1577837046651,3,sell,200.0,7160.5
1577837046651,3,sell,1130.0,7160.5
1577837046651,3,sell,300.0,7160.5
1577837046651,3,sell,200.0,7160.5
1577837046651,3,sell,80.0,7160.5
1577837046651,3,sell,20.0,7160.5
1577837046651,3,sell,160.0,7160.5
1577837046651,3,sell,100.0,7160.5
1577837046651,3,sell,3850.0,7160.5
1577837046692,3,sell,4620.0,7160.5
1577837046692,3,sell,10.0,7160.5
1577837046692,3,sell,1040.0,7160.5
1577837046692,3,sell,53880.0,7160.5
1577837046692,3,sell,450.0,7160.5
